ticker,cusip,isin,weight,order_time,order_type
CCRN,227483104,US2274831047,0.024396967929954456,MOC,default
LNSR,52634L108,US52634L1089,0.024400020311850144,MOC,default
SOL,75971T301,US75971T3014,0.02440759622363715,MOC,default
TASK,87652V109,US87652V1098,0.024406475348973816,MOC,default
TRUE,89785L107,US89785L1070,0.024408867215442893,MOC,default
CTLP,138103106,US1381031061,0.024402081920605924,MOC,default
VSTA,G9440A109,KYG9440A1094,0.024407486137732713,MOC,default
TXNM,,US69349H1077,0.024377642849821426,MOC,default
IMXI,46005L101,US46005L1017,0.024404303654313602,MOC,default
RNA,05370A108,US04965N1046,0.02435116218590014,MOC,default
TGNA,87901J105,US87901J1051,0.024406845637925095,MOC,default
GTLS,16115Q308,US16115Q3083,0.024354344669319253,MOC,default
FYBR,35909D109,US35909D1090,0.024395476766339845,MOC,default
HOLX,436440101,US4364401012,0.02437159813288701,MOC,default
PRA,74267C106,US74267C1062,0.024408246731254264,MOC,default
MRUS,N5749R100,NL0011606264,0.02434147462630989,MOC,default
DAY,15677J108,US15677J1088,0.02434359628192263,MOC,default
PGRE,69924R108,US69924R1086,0.024408597004586554,MOC,default
CIO,178587101,US1785871013,0.024405714755452265,MOC,default
STAA,852312305,US8523123052,0.024397938687475383,MOC,default
WOW,96758W101,US96758W1018,0.024407065809733966,MOC,default
EA,285512109,US2855121099,0.024298821342246205,MOC,default
VMEO,92719V100,US92719V1008,0.02440156151451223,MOC,default
IAS,45828L108,US45828L1089,0.024400520702324853,MOC,default
PRO,74346Y103,US74346Y1038,0.02440594493507063,MOC,default
AL,00912X302,US00912X3026,0.024381655981428545,MOC,default
VRNT,92343X100,US92343X1000,0.024395596860053773,MOC,default
HI,431571108,US4315711089,0.024391723837779572,MOC,default
AHL,G05384154,BMG053845019,0.024397548382905115,MOC,default
ODP,88337F105,US88337F1057,0.02439086316616308,MOC,default
SPNS,G7T16G103,KYG7T16G1039,0.024370517289461654,MOC,default
HSII,422819102,US4228191023,0.024384338074372954,MOC,default
PLYM,729640102,US7296401026,0.0244026223423186,MOC,default
GHLD,40172N107,US40172N1072,0.02439653759414621,MOC,default
INFA,45674M101,US45674M1018,0.024391633767494123,MOC,default
PINC,74051N102,US74051N1028,0.024399079577757703,MOC,default
AKRO,00973Y108,US00973Y1082,0.024372779054407316,MOC,default
CFSB,12530C107,US12530C1071,0.024406345247450396,MOC,default
ZIMV,98888T107,US98888T1079,0.024402202014319845,MOC,default
CLCO,,BMG2415A1137,0.024408246731254264,MOC,default
TRML,89157D105,US89157D1054,0.024397958703094372,MOC,default
